"statistics","state","year","day","date","deaths","quality"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"01.01.",2000-01-01,100,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"02.01.",2000-01-02,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"03.01.",2000-01-03,76,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"04.01.",2000-01-04,106,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"05.01.",2000-01-05,88,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"06.01.",2000-01-06,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"07.01.",2000-01-07,89,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"08.01.",2000-01-08,88,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"09.01.",2000-01-09,87,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"10.01.",2000-01-10,80,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"11.01.",2000-01-11,78,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"12.01.",2000-01-12,93,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"13.01.",2000-01-13,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"14.01.",2000-01-14,98,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"15.01.",2000-01-15,100,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"16.01.",2000-01-16,85,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"17.01.",2000-01-17,103,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"18.01.",2000-01-18,91,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"19.01.",2000-01-19,92,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"20.01.",2000-01-20,95,"e"
"Statistik der Sterbefälle","Schleswig-Holstein",2000,"21.01.",2000-01-21,92,"e"
