"statistic","country","year","week","age","sex","deaths","quality"
"Statistik der Sterbefälle","Germany",2000,1,"0-29","Male","166","e"
"Statistik der Sterbefälle","Germany",2000,1,"0-29","Female","77","e"
"Statistik der Sterbefälle","Germany",2000,1,"30-34","Male","80","e"
"Statistik der Sterbefälle","Germany",2000,1,"30-34","Female","33","e"
"Statistik der Sterbefälle","Germany",2000,1,"35-39","Male","104","e"
"Statistik der Sterbefälle","Germany",2000,1,"35-39","Female","55","e"
"Statistik der Sterbefälle","Germany",2000,1,"40-44","Male","157","e"
"Statistik der Sterbefälle","Germany",2000,1,"40-44","Female","88","e"
"Statistik der Sterbefälle","Germany",2000,1,"45-49","Male","237","e"
"Statistik der Sterbefälle","Germany",2000,1,"45-49","Female","117","e"
"Statistik der Sterbefälle","Germany",2000,1,"50-54","Male","276","e"
"Statistik der Sterbefälle","Germany",2000,1,"50-54","Female","150","e"
"Statistik der Sterbefälle","Germany",2000,1,"55-59","Male","500","e"
"Statistik der Sterbefälle","Germany",2000,1,"55-59","Female","252","e"
"Statistik der Sterbefälle","Germany",2000,1,"60-64","Male","820","e"
"Statistik der Sterbefälle","Germany",2000,1,"60-64","Female","426","e"
"Statistik der Sterbefälle","Germany",2000,1,"65-69","Male","993","e"
"Statistik der Sterbefälle","Germany",2000,1,"65-69","Female","500","e"
"Statistik der Sterbefälle","Germany",2000,1,"70-74","Male","1196","e"
"Statistik der Sterbefälle","Germany",2000,1,"70-74","Female","841","e"
"Statistik der Sterbefälle","Germany",2000,1,"75-79","Male","1206","e"
"Statistik der Sterbefälle","Germany",2000,1,"75-79","Female","1565","e"
"Statistik der Sterbefälle","Germany",2000,1,"80-84","Male","828","e"
"Statistik der Sterbefälle","Germany",2000,1,"80-84","Female","1381","e"
"Statistik der Sterbefälle","Germany",2000,1,"85-89","Male","1042","e"
"Statistik der Sterbefälle","Germany",2000,1,"85-89","Female","2518","e"
"Statistik der Sterbefälle","Germany",2000,1,"90-94","Male","499","e"
"Statistik der Sterbefälle","Germany",2000,1,"90-94","Female","1494","e"
"Statistik der Sterbefälle","Germany",2000,1,"95+","Male","138","e"
"Statistik der Sterbefälle","Germany",2000,1,"95+","Female","527","e"
"Statistik der Sterbefälle","Germany",2000,2,"0-29","Male","166","e"
"Statistik der Sterbefälle","Germany",2000,2,"0-29","Female","77","e"
"Statistik der Sterbefälle","Germany",2000,2,"30-34","Male","81","e"
"Statistik der Sterbefälle","Germany",2000,2,"30-34","Female","37","e"
"Statistik der Sterbefälle","Germany",2000,2,"35-39","Male","92","e"
"Statistik der Sterbefälle","Germany",2000,2,"35-39","Female","51","e"
"Statistik der Sterbefälle","Germany",2000,2,"40-44","Male","163","e"
"Statistik der Sterbefälle","Germany",2000,2,"40-44","Female","87","e"
"Statistik der Sterbefälle","Germany",2000,2,"45-49","Male","239","e"
"Statistik der Sterbefälle","Germany",2000,2,"45-49","Female","124","e"
"Statistik der Sterbefälle","Germany",2000,2,"50-54","Male","295","e"
"Statistik der Sterbefälle","Germany",2000,2,"50-54","Female","150","e"
"Statistik der Sterbefälle","Germany",2000,2,"55-59","Male","540","e"
"Statistik der Sterbefälle","Germany",2000,2,"55-59","Female","267","e"
"Statistik der Sterbefälle","Germany",2000,2,"60-64","Male","822","e"
"Statistik der Sterbefälle","Germany",2000,2,"60-64","Female","408","e"
"Statistik der Sterbefälle","Germany",2000,2,"65-69","Male","963","e"
"Statistik der Sterbefälle","Germany",2000,2,"65-69","Female","547","e"
"Statistik der Sterbefälle","Germany",2000,2,"70-74","Male","1267","e"
"Statistik der Sterbefälle","Germany",2000,2,"70-74","Female","880","e"
"Statistik der Sterbefälle","Germany",2000,2,"75-79","Male","1253","e"
"Statistik der Sterbefälle","Germany",2000,2,"75-79","Female","1489","e"
"Statistik der Sterbefälle","Germany",2000,2,"80-84","Male","836","e"
"Statistik der Sterbefälle","Germany",2000,2,"80-84","Female","1430","e"
"Statistik der Sterbefälle","Germany",2000,2,"85-89","Male","1111","e"
"Statistik der Sterbefälle","Germany",2000,2,"85-89","Female","2395","e"
"Statistik der Sterbefälle","Germany",2000,2,"90-94","Male","484","e"
"Statistik der Sterbefälle","Germany",2000,2,"90-94","Female","1578","e"
"Statistik der Sterbefälle","Germany",2000,2,"95+","Male","110","e"
"Statistik der Sterbefälle","Germany",2000,2,"95+","Female","518","e"
"Statistik der Sterbefälle","Germany",2000,3,"0-29","Male","169","e"
"Statistik der Sterbefälle","Germany",2000,3,"0-29","Female","80","e"
"Statistik der Sterbefälle","Germany",2000,3,"30-34","Male","80","e"
"Statistik der Sterbefälle","Germany",2000,3,"30-34","Female","32","e"
"Statistik der Sterbefälle","Germany",2000,3,"35-39","Male","111","e"
"Statistik der Sterbefälle","Germany",2000,3,"35-39","Female","56","e"
"Statistik der Sterbefälle","Germany",2000,3,"40-44","Male","145","e"
"Statistik der Sterbefälle","Germany",2000,3,"40-44","Female","77","e"
"Statistik der Sterbefälle","Germany",2000,3,"45-49","Male","228","e"
"Statistik der Sterbefälle","Germany",2000,3,"45-49","Female","132","e"
"Statistik der Sterbefälle","Germany",2000,3,"50-54","Male","293","e"
"Statistik der Sterbefälle","Germany",2000,3,"50-54","Female","164","e"
"Statistik der Sterbefälle","Germany",2000,3,"55-59","Male","502","e"
"Statistik der Sterbefälle","Germany",2000,3,"55-59","Female","270","e"
"Statistik der Sterbefälle","Germany",2000,3,"60-64","Male","822","e"
"Statistik der Sterbefälle","Germany",2000,3,"60-64","Female","437","e"
"Statistik der Sterbefälle","Germany",2000,3,"65-69","Male","1076","e"
"Statistik der Sterbefälle","Germany",2000,3,"65-69","Female","520","e"
"Statistik der Sterbefälle","Germany",2000,3,"70-74","Male","1261","e"
"Statistik der Sterbefälle","Germany",2000,3,"70-74","Female","883","e"
"Statistik der Sterbefälle","Germany",2000,3,"75-79","Male","1343","e"
"Statistik der Sterbefälle","Germany",2000,3,"75-79","Female","1622","e"
"Statistik der Sterbefälle","Germany",2000,3,"80-84","Male","929","e"
"Statistik der Sterbefälle","Germany",2000,3,"80-84","Female","1480","e"
"Statistik der Sterbefälle","Germany",2000,3,"85-89","Male","1119","e"
"Statistik der Sterbefälle","Germany",2000,3,"85-89","Female","2479","e"
"Statistik der Sterbefälle","Germany",2000,3,"90-94","Male","535","e"
"Statistik der Sterbefälle","Germany",2000,3,"90-94","Female","1641","e"
"Statistik der Sterbefälle","Germany",2000,3,"95+","Male","147","e"
"Statistik der Sterbefälle","Germany",2000,3,"95+","Female","503","e"
"Statistik der Sterbefälle","Germany",2000,4,"0-29","Male","164","e"
"Statistik der Sterbefälle","Germany",2000,4,"0-29","Female","84","e"
"Statistik der Sterbefälle","Germany",2000,4,"30-34","Male","69","e"
"Statistik der Sterbefälle","Germany",2000,4,"30-34","Female","34","e"
"Statistik der Sterbefälle","Germany",2000,4,"35-39","Male","112","e"
"Statistik der Sterbefälle","Germany",2000,4,"35-39","Female","42","e"
"Statistik der Sterbefälle","Germany",2000,4,"40-44","Male","194","e"
"Statistik der Sterbefälle","Germany",2000,4,"40-44","Female","80","e"
"Statistik der Sterbefälle","Germany",2000,4,"45-49","Male","214","e"
"Statistik der Sterbefälle","Germany",2000,4,"45-49","Female","104","e"
"Statistik der Sterbefälle","Germany",2000,4,"50-54","Male","322","e"
"Statistik der Sterbefälle","Germany",2000,4,"50-54","Female","141","e"
"Statistik der Sterbefälle","Germany",2000,4,"55-59","Male","603","e"
"Statistik der Sterbefälle","Germany",2000,4,"55-59","Female","247","e"
"Statistik der Sterbefälle","Germany",2000,4,"60-64","Male","923","e"
"Statistik der Sterbefälle","Germany",2000,4,"60-64","Female","453","e"
"Statistik der Sterbefälle","Germany",2000,4,"65-69","Male","1033","e"
"Statistik der Sterbefälle","Germany",2000,4,"65-69","Female","563","e"
"Statistik der Sterbefälle","Germany",2000,4,"70-74","Male","1354","e"
"Statistik der Sterbefälle","Germany",2000,4,"70-74","Female","942","e"
"Statistik der Sterbefälle","Germany",2000,4,"75-79","Male","1334","e"
"Statistik der Sterbefälle","Germany",2000,4,"75-79","Female","1641","e"
"Statistik der Sterbefälle","Germany",2000,4,"80-84","Male","929","e"
"Statistik der Sterbefälle","Germany",2000,4,"80-84","Female","1517","e"
"Statistik der Sterbefälle","Germany",2000,4,"85-89","Male","1142","e"
"Statistik der Sterbefälle","Germany",2000,4,"85-89","Female","2581","e"
"Statistik der Sterbefälle","Germany",2000,4,"90-94","Male","536","e"
"Statistik der Sterbefälle","Germany",2000,4,"90-94","Female","1706","e"
"Statistik der Sterbefälle","Germany",2000,4,"95+","Male","123","e"
"Statistik der Sterbefälle","Germany",2000,4,"95+","Female","528","e"
"Statistik der Sterbefälle","Germany",2000,5,"0-29","Male","186","e"
"Statistik der Sterbefälle","Germany",2000,5,"0-29","Female","96","e"
"Statistik der Sterbefälle","Germany",2000,5,"30-34","Male","74","e"
"Statistik der Sterbefälle","Germany",2000,5,"30-34","Female","28","e"
"Statistik der Sterbefälle","Germany",2000,5,"35-39","Male","114","e"
"Statistik der Sterbefälle","Germany",2000,5,"35-39","Female","53","e"
"Statistik der Sterbefälle","Germany",2000,5,"40-44","Male","174","e"
"Statistik der Sterbefälle","Germany",2000,5,"40-44","Female","101","e"
"Statistik der Sterbefälle","Germany",2000,5,"45-49","Male","224","e"
"Statistik der Sterbefälle","Germany",2000,5,"45-49","Female","130","e"
"Statistik der Sterbefälle","Germany",2000,5,"50-54","Male","311","e"
"Statistik der Sterbefälle","Germany",2000,5,"50-54","Female","150","e"
"Statistik der Sterbefälle","Germany",2000,5,"55-59","Male","580","e"
"Statistik der Sterbefälle","Germany",2000,5,"55-59","Female","292","e"
"Statistik der Sterbefälle","Germany",2000,5,"60-64","Male","870","e"
"Statistik der Sterbefälle","Germany",2000,5,"60-64","Female","438","e"
"Statistik der Sterbefälle","Germany",2000,5,"65-69","Male","1017","e"
"Statistik der Sterbefälle","Germany",2000,5,"65-69","Female","564","e"
"Statistik der Sterbefälle","Germany",2000,5,"70-74","Male","1289","e"
"Statistik der Sterbefälle","Germany",2000,5,"70-74","Female","929","e"
"Statistik der Sterbefälle","Germany",2000,5,"75-79","Male","1418","e"
"Statistik der Sterbefälle","Germany",2000,5,"75-79","Female","1765","e"
"Statistik der Sterbefälle","Germany",2000,5,"80-84","Male","997","e"
"Statistik der Sterbefälle","Germany",2000,5,"80-84","Female","1578","e"
"Statistik der Sterbefälle","Germany",2000,5,"85-89","Male","1170","e"
"Statistik der Sterbefälle","Germany",2000,5,"85-89","Female","2709","e"
"Statistik der Sterbefälle","Germany",2000,5,"90-94","Male","586","e"
"Statistik der Sterbefälle","Germany",2000,5,"90-94","Female","1798","e"
"Statistik der Sterbefälle","Germany",2000,5,"95+","Male","146","e"
"Statistik der Sterbefälle","Germany",2000,5,"95+","Female","603","e"
"Statistik der Sterbefälle","Germany",2000,6,"0-29","Male","181","e"
"Statistik der Sterbefälle","Germany",2000,6,"0-29","Female","92","e"
"Statistik der Sterbefälle","Germany",2000,6,"30-34","Male","60","e"
"Statistik der Sterbefälle","Germany",2000,6,"30-34","Female","30","e"
"Statistik der Sterbefälle","Germany",2000,6,"35-39","Male","81","e"
"Statistik der Sterbefälle","Germany",2000,6,"35-39","Female","53","e"
"Statistik der Sterbefälle","Germany",2000,6,"40-44","Male","178","e"
"Statistik der Sterbefälle","Germany",2000,6,"40-44","Female","76","e"
"Statistik der Sterbefälle","Germany",2000,6,"45-49","Male","222","e"
"Statistik der Sterbefälle","Germany",2000,6,"45-49","Female","109","e"
"Statistik der Sterbefälle","Germany",2000,6,"50-54","Male","312","e"
"Statistik der Sterbefälle","Germany",2000,6,"50-54","Female","152","e"
"Statistik der Sterbefälle","Germany",2000,6,"55-59","Male","547","e"
"Statistik der Sterbefälle","Germany",2000,6,"55-59","Female","258","e"
"Statistik der Sterbefälle","Germany",2000,6,"60-64","Male","839","e"
"Statistik der Sterbefälle","Germany",2000,6,"60-64","Female","396","e"
"Statistik der Sterbefälle","Germany",2000,6,"65-69","Male","1026","e"
"Statistik der Sterbefälle","Germany",2000,6,"65-69","Female","570","e"
"Statistik der Sterbefälle","Germany",2000,6,"70-74","Male","1282","e"
"Statistik der Sterbefälle","Germany",2000,6,"70-74","Female","889","e"
"Statistik der Sterbefälle","Germany",2000,6,"75-79","Male","1277","e"
"Statistik der Sterbefälle","Germany",2000,6,"75-79","Female","1564","e"
"Statistik der Sterbefälle","Germany",2000,6,"80-84","Male","921","e"
"Statistik der Sterbefälle","Germany",2000,6,"80-84","Female","1476","e"
"Statistik der Sterbefälle","Germany",2000,6,"85-89","Male","1158","e"
"Statistik der Sterbefälle","Germany",2000,6,"85-89","Female","2621","e"
"Statistik der Sterbefälle","Germany",2000,6,"90-94","Male","513","e"
"Statistik der Sterbefälle","Germany",2000,6,"90-94","Female","1719","e"
"Statistik der Sterbefälle","Germany",2000,6,"95+","Male","141","e"
"Statistik der Sterbefälle","Germany",2000,6,"95+","Female","486","e"
"Statistik der Sterbefälle","Germany",2000,7,"0-29","Male","170","e"
"Statistik der Sterbefälle","Germany",2000,7,"0-29","Female","81","e"
"Statistik der Sterbefälle","Germany",2000,7,"30-34","Male","64","e"
"Statistik der Sterbefälle","Germany",2000,7,"30-34","Female","31","e"
"Statistik der Sterbefälle","Germany",2000,7,"35-39","Male","102","e"
"Statistik der Sterbefälle","Germany",2000,7,"35-39","Female","36","e"
"Statistik der Sterbefälle","Germany",2000,7,"40-44","Male","156","e"
"Statistik der Sterbefälle","Germany",2000,7,"40-44","Female","87","e"
"Statistik der Sterbefälle","Germany",2000,7,"45-49","Male","199","e"
"Statistik der Sterbefälle","Germany",2000,7,"45-49","Female","122","e"
"Statistik der Sterbefälle","Germany",2000,7,"50-54","Male","283","e"
"Statistik der Sterbefälle","Germany",2000,7,"50-54","Female","144","e"
"Statistik der Sterbefälle","Germany",2000,7,"55-59","Male","557","e"
"Statistik der Sterbefälle","Germany",2000,7,"55-59","Female","271","e"
"Statistik der Sterbefälle","Germany",2000,7,"60-64","Male","823","e"
"Statistik der Sterbefälle","Germany",2000,7,"60-64","Female","418","e"
"Statistik der Sterbefälle","Germany",2000,7,"65-69","Male","902","e"
"Statistik der Sterbefälle","Germany",2000,7,"65-69","Female","501","e"
"Statistik der Sterbefälle","Germany",2000,7,"70-74","Male","1251","e"
"Statistik der Sterbefälle","Germany",2000,7,"70-74","Female","901","e"
"Statistik der Sterbefälle","Germany",2000,7,"75-79","Male","1207","e"
"Statistik der Sterbefälle","Germany",2000,7,"75-79","Female","1480","e"
"Statistik der Sterbefälle","Germany",2000,7,"80-84","Male","887","e"
"Statistik der Sterbefälle","Germany",2000,7,"80-84","Female","1444","e"
"Statistik der Sterbefälle","Germany",2000,7,"85-89","Male","1032","e"
"Statistik der Sterbefälle","Germany",2000,7,"85-89","Female","2396","e"
"Statistik der Sterbefälle","Germany",2000,7,"90-94","Male","489","e"
"Statistik der Sterbefälle","Germany",2000,7,"90-94","Female","1537","e"
"Statistik der Sterbefälle","Germany",2000,7,"95+","Male","108","e"
"Statistik der Sterbefälle","Germany",2000,7,"95+","Female","467","e"
"Statistik der Sterbefälle","Germany",2000,8,"0-29","Male","161","e"
"Statistik der Sterbefälle","Germany",2000,8,"0-29","Female","91","e"
"Statistik der Sterbefälle","Germany",2000,8,"30-34","Male","61","e"
"Statistik der Sterbefälle","Germany",2000,8,"30-34","Female","32","e"
"Statistik der Sterbefälle","Germany",2000,8,"35-39","Male","115","e"
"Statistik der Sterbefälle","Germany",2000,8,"35-39","Female","45","e"
"Statistik der Sterbefälle","Germany",2000,8,"40-44","Male","129","e"
"Statistik der Sterbefälle","Germany",2000,8,"40-44","Female","75","e"
"Statistik der Sterbefälle","Germany",2000,8,"45-49","Male","232","e"
"Statistik der Sterbefälle","Germany",2000,8,"45-49","Female","120","e"
"Statistik der Sterbefälle","Germany",2000,8,"50-54","Male","294","e"
"Statistik der Sterbefälle","Germany",2000,8,"50-54","Female","129","e"
"Statistik der Sterbefälle","Germany",2000,8,"55-59","Male","470","e"
"Statistik der Sterbefälle","Germany",2000,8,"55-59","Female","242","e"
"Statistik der Sterbefälle","Germany",2000,8,"60-64","Male","795","e"
"Statistik der Sterbefälle","Germany",2000,8,"60-64","Female","392","e"
"Statistik der Sterbefälle","Germany",2000,8,"65-69","Male","965","e"
"Statistik der Sterbefälle","Germany",2000,8,"65-69","Female","476","e"
"Statistik der Sterbefälle","Germany",2000,8,"70-74","Male","1144","e"
"Statistik der Sterbefälle","Germany",2000,8,"70-74","Female","832","e"
"Statistik der Sterbefälle","Germany",2000,8,"75-79","Male","1242","e"
"Statistik der Sterbefälle","Germany",2000,8,"75-79","Female","1426","e"
"Statistik der Sterbefälle","Germany",2000,8,"80-84","Male","829","e"
"Statistik der Sterbefälle","Germany",2000,8,"80-84","Female","1336","e"
"Statistik der Sterbefälle","Germany",2000,8,"85-89","Male","990","e"
