"statistic","country","year","day","date","deaths","quality"
"Statistik der Sterbefälle","Germany",2000,"01.01.",2000-01-01,2626,"e"
"Statistik der Sterbefälle","Germany",2000,"02.01.",2000-01-02,2618,"e"
"Statistik der Sterbefälle","Germany",2000,"03.01.",2000-01-03,2603,"e"
"Statistik der Sterbefälle","Germany",2000,"04.01.",2000-01-04,2612,"e"
"Statistik der Sterbefälle","Germany",2000,"05.01.",2000-01-05,2631,"e"
"Statistik der Sterbefälle","Germany",2000,"06.01.",2000-01-06,2721,"e"
"Statistik der Sterbefälle","Germany",2000,"07.01.",2000-01-07,2637,"e"
"Statistik der Sterbefälle","Germany",2000,"08.01.",2000-01-08,2608,"e"
"Statistik der Sterbefälle","Germany",2000,"09.01.",2000-01-09,2454,"e"
"Statistik der Sterbefälle","Germany",2000,"10.01.",2000-01-10,2615,"e"
"Statistik der Sterbefälle","Germany",2000,"11.01.",2000-01-11,2660,"e"
"Statistik der Sterbefälle","Germany",2000,"12.01.",2000-01-12,2631,"e"
"Statistik der Sterbefälle","Germany",2000,"13.01.",2000-01-13,2626,"e"
"Statistik der Sterbefälle","Germany",2000,"14.01.",2000-01-14,2695,"e"
"Statistik der Sterbefälle","Germany",2000,"15.01.",2000-01-15,2640,"e"
"Statistik der Sterbefälle","Germany",2000,"16.01.",2000-01-16,2593,"e"
"Statistik der Sterbefälle","Germany",2000,"17.01.",2000-01-17,2814,"e"
"Statistik der Sterbefälle","Germany",2000,"18.01.",2000-01-18,2728,"e"
"Statistik der Sterbefälle","Germany",2000,"19.01.",2000-01-19,2698,"e"
"Statistik der Sterbefälle","Germany",2000,"20.01.",2000-01-20,2722,"e"
"Statistik der Sterbefälle","Germany",2000,"21.01.",2000-01-21,2780,"e"
"Statistik der Sterbefälle","Germany",2000,"22.01.",2000-01-22,2685,"e"
"Statistik der Sterbefälle","Germany",2000,"23.01.",2000-01-23,2709,"e"
"Statistik der Sterbefälle","Germany",2000,"24.01.",2000-01-24,2749,"e"
"Statistik der Sterbefälle","Germany",2000,"25.01.",2000-01-25,2681,"e"
"Statistik der Sterbefälle","Germany",2000,"26.01.",2000-01-26,2719,"e"
"Statistik der Sterbefälle","Germany",2000,"27.01.",2000-01-27,2927,"e"
"Statistik der Sterbefälle","Germany",2000,"28.01.",2000-01-28,2867,"e"
"Statistik der Sterbefälle","Germany",2000,"29.01.",2000-01-29,2881,"e"
"Statistik der Sterbefälle","Germany",2000,"30.01.",2000-01-30,2891,"e"
"Statistik der Sterbefälle","Germany",2000,"31.01.",2000-01-31,3020,"e"
"Statistik der Sterbefälle","Germany",2000,"01.02.",2000-02-01,2982,"e"
"Statistik der Sterbefälle","Germany",2000,"02.02.",2000-02-02,3004,"e"
"Statistik der Sterbefälle","Germany",2000,"03.02.",2000-02-03,2912,"e"
"Statistik der Sterbefälle","Germany",2000,"04.02.",2000-02-04,2895,"e"
