"year","age","week","deaths","pop_start","pop_end","weekMax","season","pop_midweek","exposure"
2000,"0-29",1,243,27276067,26967190,52,0.00961538461538462,27273097.0288462,524482.635170118
2000,"0-29",2,243,27276067,26967190,52,0.0288461538461538,27267157.0865385,524368.405510355
2000,"0-29",3,249,27276067,26967190,52,0.0480769230769231,27261217.1442308,524254.175850592
2000,"0-29",4,248,27276067,26967190,52,0.0673076923076923,27255277.2019231,524139.946190828
2000,"0-29",5,282,27276067,26967190,52,0.0865384615384615,27249337.2596154,524025.716531065
2000,"0-29",6,273,27276067,26967190,52,0.105769230769231,27243397.3173077,523911.486871302
2000,"0-29",7,251,27276067,26967190,52,0.125,27237457.375,523797.257211538
2000,"0-29",8,252,27276067,26967190,52,0.144230769230769,27231517.4326923,523683.027551775
2000,"0-29",9,241,27276067,26967190,52,0.163461538461538,27225577.4903846,523568.797892012
2000,"0-29",10,264,27276067,26967190,52,0.182692307692308,27219637.5480769,523454.568232249
2000,"0-29",11,243,27276067,26967190,52,0.201923076923077,27213697.6057692,523340.338572485
2000,"0-29",12,258,27276067,26967190,52,0.221153846153846,27207757.6634615,523226.108912722
2000,"0-29",13,242,27276067,26967190,52,0.240384615384615,27201817.7211538,523111.879252959
2000,"0-29",14,245,27276067,26967190,52,0.259615384615385,27195877.7788462,522997.649593195
2000,"0-29",15,272,27276067,26967190,52,0.278846153846154,27189937.8365385,522883.419933432
2000,"0-29",16,247,27276067,26967190,52,0.298076923076923,27183997.8942308,522769.190273669
2000,"0-29",17,280,27276067,26967190,52,0.317307692307692,27178057.9519231,522654.960613905
2000,"0-29",18,279,27276067,26967190,52,0.336538461538462,27172118.0096154,522540.730954142
2000,"0-29",19,251,27276067,26967190,52,0.355769230769231,27166178.0673077,522426.501294379
2000,"0-29",20,261,27276067,26967190,52,0.375,27160238.125,522312.271634615
2000,"0-29",21,236,27276067,26967190,52,0.394230769230769,27154298.1826923,522198.041974852
2000,"0-29",22,275,27276067,26967190,52,0.413461538461538,27148358.2403846,522083.812315089
2000,"0-29",23,247,27276067,26967190,52,0.432692307692308,27142418.2980769,521969.582655325
2000,"0-29",24,272,27276067,26967190,52,0.451923076923077,27136478.3557692,521855.352995562
2000,"0-29",25,248,27276067,26967190,52,0.471153846153846,27130538.4134615,521741.123335799
2000,"0-29",26,245,27276067,26967190,52,0.490384615384615,27124598.4711538,521626.893676035
2000,"0-29",27,244,27276067,26967190,52,0.509615384615385,27118658.5288462,521512.664016272
2000,"0-29",28,238,27276067,26967190,52,0.528846153846154,27112718.5865385,521398.434356509
2000,"0-29",29,254,27276067,26967190,52,0.548076923076923,27106778.6442308,521284.204696746
2000,"0-29",30,237,27276067,26967190,52,0.567307692307692,27100838.7019231,521169.975036982
2000,"0-29",31,227,27276067,26967190,52,0.586538461538462,27094898.7596154,521055.745377219
2000,"0-29",32,246,27276067,26967190,52,0.605769230769231,27088958.8173077,520941.515717456
2000,"0-29",33,227,27276067,26967190,52,0.625,27083018.875,520827.286057692
2000,"0-29",34,252,27276067,26967190,52,0.644230769230769,27077078.9326923,520713.056397929
2000,"0-29",35,257,27276067,26967190,52,0.663461538461538,27071138.9903846,520598.826738166
2000,"0-29",36,249,27276067,26967190,52,0.682692307692308,27065199.0480769,520484.597078402
2000,"0-29",37,250,27276067,26967190,52,0.701923076923077,27059259.1057692,520370.367418639
2000,"0-29",38,268,27276067,26967190,52,0.721153846153846,27053319.1634615,520256.137758876
2000,"0-29",39,249,27276067,26967190,52,0.740384615384615,27047379.2211538,520141.908099112
2000,"0-29",40,247,27276067,26967190,52,0.759615384615385,27041439.2788462,520027.678439349
2000,"0-29",41,267,27276067,26967190,52,0.778846153846154,27035499.3365385,519913.448779586
2000,"0-29",42,262,27276067,26967190,52,0.798076923076923,27029559.3942308,519799.219119822
2000,"0-29",43,260,27276067,26967190,52,0.817307692307692,27023619.4519231,519684.989460059
2000,"0-29",44,235,27276067,26967190,52,0.836538461538462,27017679.5096154,519570.759800296
2000,"0-29",45,232,27276067,26967190,52,0.855769230769231,27011739.5673077,519456.530140533
2000,"0-29",46,254,27276067,26967190,52,0.875,27005799.625,519342.300480769
2000,"0-29",47,232,27276067,26967190,52,0.894230769230769,26999859.6826923,519228.070821006
2000,"0-29",48,245,27276067,26967190,52,0.913461538461538,26993919.7403846,519113.841161243
2000,"0-29",49,211,27276067,26967190,52,0.932692307692308,26987979.7980769,518999.611501479
2000,"0-29",50,237,27276067,26967190,52,0.951923076923077,26982039.8557692,518885.381841716
2000,"0-29",51,232,27276067,26967190,52,0.971153846153846,26976099.9134615,518771.152181953
2000,"0-29",52,222,27276067,26967190,52,0.990384615384615,26970159.9711538,518656.922522189
2000,"30-34",1,113,6947660,6699839,52,0.00961538461538462,6945277.10576923,133563.021264793
2000,"30-34",2,118,6947660,6699839,52,0.0288461538461538,6940511.31730769,133471.371486686
2000,"30-34",3,112,6947660,6699839,52,0.0480769230769231,6935745.52884615,133379.72170858
2000,"30-34",4,103,6947660,6699839,52,0.0673076923076923,6930979.74038462,133288.071930473
2000,"30-34",5,102,6947660,6699839,52,0.0865384615384615,6926213.95192308,133196.422152367
2000,"30-34",6,90,6947660,6699839,52,0.105769230769231,6921448.16346154,133104.77237426
2000,"30-34",7,95,6947660,6699839,52,0.125,6916682.375,133013.122596154
2000,"30-34",8,93,6947660,6699839,52,0.144230769230769,6911916.58653846,132921.472818047
2000,"30-34",9,88,6947660,6699839,52,0.163461538461538,6907150.79807692,132829.823039941
2000,"30-34",10,83,6947660,6699839,52,0.182692307692308,6902385.00961538,132738.173261834
2000,"30-34",11,87,6947660,6699839,52,0.201923076923077,6897619.22115385,132646.523483728
2000,"30-34",12,97,6947660,6699839,52,0.221153846153846,6892853.43269231,132554.873705621
2000,"30-34",13,92,6947660,6699839,52,0.240384615384615,6888087.64423077,132463.223927515
2000,"30-34",14,90,6947660,6699839,52,0.259615384615385,6883321.85576923,132371.574149408
2000,"30-34",15,88,6947660,6699839,52,0.278846153846154,6878556.06730769,132279.924371302
2000,"30-34",16,90,6947660,6699839,52,0.298076923076923,6873790.27884615,132188.274593195
2000,"30-34",17,105,6947660,6699839,52,0.317307692307692,6869024.49038462,132096.624815089
2000,"30-34",18,98,6947660,6699839,52,0.336538461538462,6864258.70192308,132004.975036982
2000,"30-34",19,109,6947660,6699839,52,0.355769230769231,6859492.91346154,131913.325258876
2000,"30-34",20,100,6947660,6699839,52,0.375,6854727.125,131821.675480769
2000,"30-34",21,98,6947660,6699839,52,0.394230769230769,6849961.33653846,131730.025702663
2000,"30-34",22,106,6947660,6699839,52,0.413461538461538,6845195.54807692,131638.375924556
2000,"30-34",23,83,6947660,6699839,52,0.432692307692308,6840429.75961538,131546.72614645
2000,"30-34",24,104,6947660,6699839,52,0.451923076923077,6835663.97115385,131455.076368343
2000,"30-34",25,98,6947660,6699839,52,0.471153846153846,6830898.18269231,131363.426590237
2000,"30-34",26,92,6947660,6699839,52,0.490384615384615,6826132.39423077,131271.77681213
2000,"30-34",27,75,6947660,6699839,52,0.509615384615385,6821366.60576923,131180.127034024
2000,"30-34",28,78,6947660,6699839,52,0.528846153846154,6816600.81730769,131088.477255917
