year,age,population,quality
1999,0,771223,e
1999,1,788905,e
1999,2,814425,e
1999,3,799778,e
1999,4,773303,e
1999,5,782784,e
1999,6,814607,e
1999,7,833793,e
1999,8,866345,e
1999,9,954074,e
1999,10,943186,e
1999,11,970098,e
1999,12,949410,e
1999,13,933225,e
1999,14,901858,e
1999,15,900050,e
1999,16,908955,e
1999,17,936004,e
1999,18,937447,e
1999,19,950649,e
1999,20,911786,e
1999,21,908151,e
1999,22,910085,e
1999,23,905701,e
1999,24,890669,e
1999,25,912320,e
1999,26,931254,e
1999,27,1029212,e
1999,28,1144718,e
1999,29,1202052,e
1999,30,1296324,e
1999,31,1362258,e
1999,32,1398811,e
1999,33,1439408,e
1999,34,1450859,e
1999,35,1477274,e
1999,36,1469050,e
1999,37,1424872,e
1999,38,1404723,e
1999,39,1368060,e
1999,40,1326138,e
1999,41,1261066,e
1999,42,1238416,e
1999,43,1210553,e
1999,44,1177514,e
1999,45,1161536,e
1999,46,1128557,e
1999,47,1133521,e
1999,48,1113454,e
1999,49,1123726,e
1999,50,1087755,e
1999,51,1003191,e
1999,52,947557,e
1999,53,834565,e
1999,54,742176,e
1999,55,987985,e
1999,56,1006682,e
1999,57,981990,e
1999,58,1189781,e
1999,59,1258458,e
1999,60,1235197,e
1999,61,1153916,e
1999,62,1078082,e
1999,63,1049741,e
1999,64,1012960,e
1999,65,940888,e
1999,66,757258,e
1999,67,752064,e
1999,68,762724,e
1999,69,799984,e
1999,70,770179,e
1999,71,758324,e
1999,72,695572,e
1999,73,673646,e
1999,74,655313,e
1999,75,595573,e
1999,76,568893,e
1999,77,573642,e
1999,78,574718,e
1999,79,537637,e
1999,80,384281,e
1999,81,235001,e
1999,82,210078,e
1999,83,214385,e
1999,84,255958,e
1999,85,296522,e
1999,86,265339,e
1999,87,232164,e
1999,88,186175,e
1999,89,157591,e
1999,90,497343,e
2000,0,766554,e
2000,1,772940,e
2000,2,789766,e
2000,3,814674,e
2000,4,799910,e
2000,5,773740,e
2000,6,782802,e
2000,7,814593,e
2000,8,834766,e
2000,9,867444,e
2000,10,955399,e
2000,11,945001,e
2000,12,972105,e
2000,13,951793,e
2000,14,935755,e
2000,15,905014,e
2000,16,904300,e
2000,17,913630,e
2000,18,942036,e
2000,19,947452,e
2000,20,963406,e
2000,21,922857,e
2000,22,920340,e
2000,23,921590,e
2000,24,916064,e
2000,25,898814,e
2000,26,918245,e
2000,27,935974,e
2000,28,1032886,e
2000,29,1147340,e
2000,30,1203587,e
2000,31,1296851,e
2000,32,1362199,e
2000,33,1398313,e
2000,34,1438889,e
2000,35,1450005,e
2000,36,1476581,e
2000,37,1468164,e
2000,38,1424090,e
2000,39,1403988,e
2000,40,1367322,e
2000,41,1325466,e
2000,42,1260096,e
2000,43,1237357,e
2000,44,1208956,e
2000,45,1176030,e
2000,46,1159795,e
2000,47,1126482,e
2000,48,1131138,e
2000,49,1110862,e
2000,50,1120698,e
2000,51,1084091,e
2000,52,999443,e
2000,53,943614,e
2000,54,830302,e
2000,55,737949,e
2000,56,981853,e
2000,57,999971,e
2000,58,975077,e
2000,59,1181002,e
2000,60,1247770,e
2000,61,1223925,e
2000,62,1142454,e
2000,63,1066784,e
2000,64,1037232,e
2000,65,999448,e
2000,66,926714,e
2000,67,744532,e
2000,68,738522,e
2000,69,747726,e
2000,70,782641,e
2000,71,752048,e
2000,72,738595,e
2000,73,676352,e
2000,74,653544,e
2000,75,633548,e
2000,76,574342,e
2000,77,545926,e
2000,78,547767,e
2000,79,545651,e
2000,80,506703,e
2000,81,360199,e
2000,82,218196,e
2000,83,193387,e
2000,84,195477,e
2000,85,230684,e
2000,86,264332,e
2000,87,233006,e
2000,88,200832,e
2000,89,158139,e
2000,90,525703,e
2001,0,735755,e
2001,1,772147,e
2001,2,775918,e
2001,3,792198,e
2001,4,816966,e
2001,5,802195,e
2001,6,775663,e
2001,7,784716,e
2001,8,817082,e
2001,9,837502,e
2001,10,870230,e
2001,11,958622,e
2001,12,948491,e
2001,13,975676,e
2001,14,955683,e
2001,15,940218,e
2001,16,911412,e
2001,17,910945,e
2001,18,922225,e
2001,19,955827,e
2001,20,963199,e
2001,21,978755,e
2001,22,939322,e
2001,23,936609,e
2001,24,936232,e
2001,25,928552,e
2001,26,909454,e
2001,27,927431,e
2001,28,943227,e
2001,29,1038983,e
2001,30,1151707,e
2001,31,1207656,e
2001,32,1299552,e
2001,33,1364225,e
2001,34,1399998,e
2001,35,1440128,e
2001,36,1450670,e
2001,37,1476899,e
2001,38,1468690,e
2001,39,1424674,e
2001,40,1404263,e
2001,41,1367630,e
2001,42,1325031,e
2001,43,1259536,e
2001,44,1236607,e
2001,45,1207862,e
2001,46,1174673,e
2001,47,1157765,e
2001,48,1124315,e
2001,49,1128577,e
2001,50,1108022,e
2001,51,1117385,e
2001,52,1080585,e
2001,53,995557,e
2001,54,939581,e
2001,55,826037,e
2001,56,733724,e
2001,57,975354,e
2001,58,992976,e
2001,59,968067,e
2001,60,1171255,e
2001,61,1236424,e
2001,62,1212233,e
2001,63,1130839,e
2001,64,1054855,e
2001,65,1024140,e
2001,66,985463,e
2001,67,912376,e
2001,68,731607,e
2001,69,724474,e
2001,70,732099,e
2001,71,764629,e
2001,72,732999,e
2001,73,718511,e
2001,74,656444,e
2001,75,632558,e
2001,76,610897,e
2001,77,551956,e
2001,78,521892,e
2001,79,520874,e
2001,80,515478,e
2001,81,475438,e
2001,82,335240,e
2001,83,201446,e
2001,84,177109,e
2001,85,176828,e
2001,86,205880,e
2001,87,232972,e
2001,88,202114,e
2001,89,171591,e
2001,90,550707,e
2002,0,719250,e
2002,1,739547,e
2002,2,773772,e
2002,3,777811,e
2002,4,794141,e
2002,5,819000,e
2002,6,803429,e
2002,7,777074,e
2002,8,786980,e
2002,9,819359,e
2002,10,840052,e
2002,11,873253,e
2002,12,961356,e
2002,13,951535,e
2002,14,979021,e
2002,15,959420,e
2002,16,945119,e
2002,17,916538,e
2002,18,917900,e
2002,19,934459,e
2002,20,969933,e
2002,21,976442,e
2002,22,992803,e
2002,23,952985,e
2002,24,948860,e
2002,25,946009,e
2002,26,936263,e
2002,27,916169,e
2002,28,933124,e
2002,29,947840,e
2002,30,1042534,e
2002,31,1154077,e
2002,32,1209961,e
2002,33,1300709,e
2002,34,1364686,e
2002,35,1400187,e
2002,36,1439945,e
2002,37,1450555,e
2002,38,1476463,e
2002,39,1468226,e
2002,40,1424198,e
2002,41,1403660,e
2002,42,1366909,e
2002,43,1324022,e
2002,44,1258214,e
2002,45,1234722,e
2002,46,1205707,e
2002,47,1172503,e
2002,48,1155464,e
2002,49,1121436,e
2002,50,1125457,e
2002,51,1104667,e
2002,52,1113405,e
2002,53,1076523,e
2002,54,991293,e
2002,55,934937,e
2002,56,821345,e
2002,57,729066,e
2002,58,968455,e
2002,59,985523,e
2002,60,959970,e
2002,61,1161033,e
2002,62,1224590,e
2002,63,1199711,e
2002,64,1118264,e
2002,65,1042034,e
2002,66,1010252,e
2002,67,970422,e
2002,68,896637,e
2002,69,717779,e
2002,70,709693,e
2002,71,715508,e
2002,72,745642,e
2002,73,712768,e
2002,74,696700,e
2002,75,634908,e
2002,76,610122,e
2002,77,587216,e
2002,78,528378,e
2002,79,496753,e
2002,80,492383,e
2002,81,483677,e
2002,82,442751,e
2002,83,309447,e
2002,84,184069,e
2002,85,159970,e
2002,86,158344,e
2002,87,181138,e
2002,88,201822,e
2002,89,171890,e
2002,90,578516,e
2003,0,706449,e
2003,1,722845,e
2003,2,741235,e
2003,3,775035,e
2003,4,778756,e
2003,5,794971,e
2003,6,819102,e
2003,7,803783,e
2003,8,778263,e
2003,9,788064,e
2003,10,820427,e
2003,11,841560,e
2003,12,874970,e
2003,13,963201,e
2003,14,953449,e
2003,15,981339,e
2003,16,962594,e
2003,17,948796,e
2003,18,921679,e
2003,19,927797,e
2003,20,945735,e
2003,21,980454,e
2003,22,987005,e
2003,23,1003813,e
2003,24,962464,e
2003,25,956147,e
2003,26,951628,e
2003,27,940907,e
2003,28,919707,e
2003,29,935548,e
2003,30,949498,e
2003,31,1043319,e
2003,32,1154414,e
2003,33,1209537,e
2003,34,1300032,e
2003,35,1363600,e
2003,36,1398377,e
2003,37,1438447,e
2003,38,1448475,e
2003,39,1474533,e
2003,40,1466359,e
2003,41,1422470,e
2003,42,1401548,e
2003,43,1364641,e
2003,44,1321898,e
2003,45,1256051,e
2003,46,1232037,e
2003,47,1202886,e
2003,48,1169433,e
2003,49,1152162,e
2003,50,1117790,e
2003,51,1121792,e
2003,52,1100655,e
2003,53,1108775,e
2003,54,1071635,e
2003,55,986273,e
2003,56,929925,e
2003,57,816200,e
2003,58,723816,e
2003,59,960921,e
2003,60,976976,e
2003,61,951271,e
2003,62,1150029,e
2003,63,1211778,e
2003,64,1186400,e
2003,65,1104720,e
2003,66,1028050,e
2003,67,995364,e
2003,68,954207,e
2003,69,880013,e
2003,70,703388,e
2003,71,693668,e
2003,72,697782,e
2003,73,725229,e
2003,74,691416,e
2003,75,673450,e
2003,76,613167,e
2003,77,586192,e
2003,78,561897,e
2003,79,503089,e
2003,80,469764,e
2003,81,462122,e
2003,82,450653,e
2003,83,408189,e
2003,84,282744,e
2003,85,166408,e
2003,86,142607,e
2003,87,139428,e
2003,88,156482,e
2003,89,171739,e
2003,90,598227,e
2004,0,704988,e
2004,1,710046,e
2004,2,724130,e
2004,3,741711,e
2004,4,775447,e
2004,5,778818,e
2004,6,794354,e
2004,7,818738,e
2004,8,804014,e
2004,9,779062,e
2004,10,788748,e
2004,11,821374,e
2004,12,842561,e
2004,13,876155,e
2004,14,964512,e
2004,15,955150,e
2004,16,983816,e
2004,17,965211,e
2004,18,953027,e
2004,19,930660,e
2004,20,938284,e
2004,21,955094,e
2004,22,989696,e
2004,23,995985,e
2004,24,1011157,e
2004,25,967850,e
2004,26,959583,e
2004,27,954065,e
2004,28,942967,e
2004,29,920783,e
